City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
517,Bismarck,US,82.24,clear sky,46.8083,-100.7837,Radisson Hotel Bismarck
520,Coppell,US,83.44,overcast clouds,32.9546,-97.015,Aloft Coppell - Grapevine
521,Nuku'Alofa,TO,80.94,scattered clouds,-21.1333,-175.2,City Hotel
531,Itaituba,BR,79.57,overcast clouds,-4.2761,-55.9836,TG Hotel
536,Val-D'Or,CA,80.69,few clouds,48.1002,-77.7828,Quality Inn & Suites
539,Champoton,MX,80.91,scattered clouds,19.35,-90.7167,Paraíso Beach
545,Arar,SA,86.02,broken clouds,30.9753,41.0381,دار أوتيل Dar Otel
549,Wewak,PG,82.9,overcast clouds,-3.5534,143.6268,Village Inn
556,As Samawah,IQ,87.51,few clouds,31.332,45.2944,فندق قصر الغدير
567,Basco,PH,81.25,broken clouds,20.4487,121.9702,Tawsen Hotel
572,Sumbawa Besar,ID,81.37,clear sky,-8.5,117.4333,Hotel Mekarsari
585,Quepos,CR,80.1,overcast clouds,9.4236,-84.1652,Casa Feliz
586,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Decameron Isleño
599,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Port Wine Guest House
600,Ibotirama,BR,79.48,overcast clouds,-12.1853,-43.2206,Glória Palace Hotel
603,"Laikit, Laikit Ii (Dimembe)",ID,85.05,few clouds,1.4792,124.9735,Chandra Lestari Hotel Cottage & Restoran
608,Acapulco De Juarez,MX,84.88,few clouds,16.8634,-99.8901,Hotel del Valle
610,Al Kharj,SA,88.38,clear sky,24.155,47.3346,شقق فندقية
627,Tumbes,PE,82.35,broken clouds,-3.5667,-80.4414,Hospedaje Las Orquídeas
634,Champerico,GT,86.54,overcast clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
645,Weno,FM,83.35,scattered clouds,7.4515,151.8468,High Tide Hotel
649,Heroica Caborca,MX,87.22,clear sky,30.7167,-112.15,Hotel Posada del Desierto
653,Kalmunai,LK,81.19,broken clouds,7.4167,81.8167,Saji new food
654,Bhimunipatnam,IN,84.47,clear sky,17.8833,83.4333,Hotel Beach Paradise
659,Cloverdale,US,82.2,clear sky,38.8055,-123.0172,Cloverdale Wine Country Inn and Suites
674,Puerto Lempira,HN,82.35,overcast clouds,15.2667,-83.7667,Hotel Samaritano
681,Anse La Raye,LC,80.24,broken clouds,13.9333,-61.0333,Ti Kaye Resort & Spa
688,Kupang,ID,81.18,scattered clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
694,Salalah,OM,82.22,clear sky,17.0151,54.0924,Muscat International Hotel
699,Diu,IN,83.59,overcast clouds,20.7141,70.9822,Hotel Ankur
704,Sur,OM,89.47,clear sky,22.5667,59.5289,Sur Hotel
709,Mamuju,ID,84.58,few clouds,-2.6748,118.8885,Hotel d'Maleo
