City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ambon,ID,-3.6954,128.1814,89.74,77,40,2.3,scattered clouds
79,Mar Del Plata,AR,-38.0023,-57.5575,47.08,90,40,6.91,scattered clouds
80,Lantana,US,26.5867,-80.052,82.44,80,100,6.91,overcast clouds
81,Caninde,BR,-4.3589,-39.3117,75.15,80,68,1.21,broken clouds
82,Harstad,NO,68.799,16.5293,45.79,96,100,18.01,overcast clouds
83,Port Alfred,ZA,-33.5906,26.891,60.66,37,0,8.01,clear sky
84,Puerto Natales,CL,-51.7236,-72.4875,33.71,86,100,6.42,overcast clouds
85,Usogorsk,RU,63.4106,48.6872,49.71,68,88,5.41,overcast clouds
86,Margaret River,AU,-33.95,115.0667,60.84,66,100,5.14,overcast clouds
87,Bayanhongor,MN,46.7167,100.1167,44.15,43,0,3.53,clear sky
88,Invercargill,NZ,-46.4,168.35,52.99,71,100,6.15,light rain
89,West Island,CC,-12.1568,96.8225,80.58,78,40,9.22,scattered clouds
90,Cabo San Lucas,MX,22.8909,-109.9124,85.17,47,0,13.8,clear sky
91,Cherepovets,RU,59.1333,37.9,43.72,94,67,7.99,broken clouds
92,Atafu Village,TK,-8.5421,-172.5159,84.25,73,4,13.82,clear sky
93,Hermanus,ZA,-34.4187,19.2345,51.8,55,0,3.13,clear sky
94,Avarua,CK,-21.2078,-159.775,78.85,83,75,14.97,broken clouds
95,Manavalakurichi,IN,8.1333,77.3,80.83,80,87,11.54,overcast clouds
96,Shenjiamen,CN,29.9576,122.298,70.68,88,90,16.51,overcast clouds
97,Marsh Harbour,BS,26.5412,-77.0636,80.85,71,0,6.24,clear sky
98,Vanimo,PG,-2.6741,141.3028,78.84,89,100,4.72,overcast clouds
99,North Ward,AU,-19.2454,146.8075,75.11,43,94,4.61,overcast clouds
100,Gizo,SB,-8.103,156.8419,83.8,71,71,4.29,light rain
101,Chake Chake,TZ,-5.2459,39.7666,76.14,83,67,10.89,light rain
102,Jalai Nur,CN,49.45,117.7,55.35,40,100,11.39,overcast clouds
103,Lebu,CL,-37.6167,-73.65,46.65,81,86,12.19,overcast clouds
104,Stanley,GB,54.868,-1.6985,51.89,86,5,5.06,clear sky
105,Porto Novo,BJ,6.4965,2.6036,76.82,87,100,4.23,light rain
106,Thompson,CA,55.7435,-97.8558,66.36,48,40,4.61,scattered clouds
107,Dano,BF,11.15,-3.0667,88.59,44,100,11.45,overcast clouds
108,Yellowknife,CA,62.456,-114.3525,64.92,27,75,16.11,broken clouds
109,Batie,BF,9.8833,-2.9167,80.55,71,100,11.12,overcast clouds
110,Prince Rupert,CA,54.3161,-130.3201,53.69,67,100,5.75,overcast clouds
111,Polyarnyy,RU,69.1989,33.4478,42.22,55,100,14.63,overcast clouds
112,Sungai Penuh,ID,-2.0833,101.3833,68.68,90,99,1.9,overcast clouds
113,Tsiombe,MG,-25.3,45.4833,66.7,86,100,3.8,overcast clouds
114,Kruisfontein,ZA,-34.0033,24.7314,50.76,36,0,5.32,clear sky
115,Kalemie,CD,-5.9475,29.1947,71.11,82,100,2.17,overcast clouds
116,Port Mathurin,MU,-19.6833,63.4167,77.47,73,0,21.21,clear sky
117,Petropavlovsk-Kamchatsky,RU,53.0452,158.6483,48.79,76,75,6.71,broken clouds
118,Bengkulu,ID,-3.8004,102.2655,77.76,87,100,4.43,overcast clouds
119,Talnakh,RU,69.4865,88.3972,42.21,82,27,11.14,scattered clouds
120,Pisco,PE,-13.7,-76.2167,69.85,78,40,10.36,scattered clouds
121,Anadyr,RU,64.75,177.4833,43.3,60,0,8.95,clear sky
122,Sao Filipe,CV,14.8961,-24.4956,74.48,83,85,3.49,overcast clouds
123,Villa Del Totoral,AR,-30.8167,-63.7167,55.26,41,100,9.46,overcast clouds
124,Xingcheng,CN,40.6167,120.7167,67.15,65,100,3.51,overcast clouds
125,Courtenay,CA,49.6866,-124.9936,74.44,43,20,8.05,few clouds
126,Whitehorse,CA,60.7161,-135.0538,52.11,50,75,21.85,broken clouds
127,Conception Bay South,CA,47.4999,-52.9981,45.45,86,100,12.73,overcast clouds
128,Cabedelo,BR,-6.9811,-34.8339,77.67,85,30,9.98,scattered clouds
129,Pearsall,US,28.8922,-99.095,88.99,65,68,13.4,broken clouds
130,Beruniy,UZ,41.6911,60.7525,64.36,39,0,6.91,clear sky
131,Las Lajitas,AR,-24.6833,-64.25,53.78,83,100,9.75,overcast clouds
132,Sitka,US,57.0531,-135.33,53.49,71,100,9.22,light rain
133,Nuevitas,CU,21.5453,-77.2644,78.4,83,0,3.74,clear sky
134,Ust-Nera,RU,64.5667,143.2,50.61,48,4,1.95,clear sky
135,Saint-Philippe,RE,-21.3585,55.7679,72.99,80,62,14.23,broken clouds
136,Aktau,KZ,43.65,51.2,63.18,74,3,10.56,clear sky
137,Loreto,MX,22.2667,-101.9667,69.8,48,100,16.11,light rain
138,Klyuchi,RU,52.2667,79.1667,52.48,49,4,12.77,clear sky
139,Lae,PG,-6.7221,146.9847,84.87,68,16,1.99,few clouds
140,Portland,US,45.5234,-122.6762,75.81,52,20,11.5,few clouds
141,Mukalla,YE,14.5425,49.1242,84.09,74,3,4.74,clear sky
142,N'Dalatando,AO,-9.2978,14.9116,66.58,97,98,2.75,overcast clouds
143,Ugurludag,TR,40.4463,34.4526,57.06,79,34,4.83,light rain
144,Sirte,LY,31.2089,16.5887,66.4,88,0,8.43,clear sky
145,Miandrivazo,MG,-19.5167,45.4667,69.26,60,11,2.86,few clouds
146,Paradip Garh,IN,20.3167,86.6167,85.17,78,0,6.4,clear sky
147,Gorgan,IR,36.8387,54.4348,66.16,83,0,0.0,clear sky
148,Hasaki,JP,35.7333,140.8333,77.22,68,100,14.36,overcast clouds
149,Ebeltoft,DK,56.1944,10.6821,48.22,76,20,8.05,few clouds
150,Masterton,NZ,-40.9597,175.6575,64.89,59,77,2.59,broken clouds
151,Pancevo,RS,44.8708,20.6403,60.91,99,97,3.31,overcast clouds
152,Grand Island,US,40.925,-98.342,80.55,32,0,14.97,clear sky
153,Yuzhno-Kurilsk,RU,44.0306,145.8556,55.36,79,100,6.71,overcast clouds
154,Tucumcari,US,35.1717,-103.725,70.95,69,85,15.99,overcast clouds
155,Tazovsky,RU,67.4667,78.7,54.19,57,10,15.88,clear sky
156,Holualoa,US,19.6228,-155.9522,80.44,77,0,12.66,light rain
157,Caleta De Carquin,PE,-11.0925,-77.6267,70.86,84,66,9.89,broken clouds
158,Puerto Ayora,EC,-0.7393,-90.3518,78.55,93,98,8.01,overcast clouds
159,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,85,95,8.55,overcast clouds
160,Kattivakkam,IN,13.2167,80.3167,86.09,69,21,11.54,few clouds
161,Kone,NC,-21.0595,164.8658,78.53,51,10,6.98,clear sky
162,Afaahiti,PF,-17.75,-149.2833,84.07,77,19,18.23,few clouds
163,Keflavik,IS,64.0049,-22.5624,43.23,81,100,16.11,overcast clouds
164,Pokhvistnevo,RU,53.6524,52.1274,62.91,53,99,4.76,overcast clouds
165,Tazacorte,ES,28.629,-17.9293,67.17,77,20,6.91,few clouds
166,La Passe,FR,45.5549,-0.8967,66.43,92,68,8.08,broken clouds
167,Chonchi,CL,-42.6128,-73.8092,38.26,89,100,2.28,overcast clouds
168,Beledweyne,SO,4.7358,45.2036,75.81,70,51,13.58,broken clouds
169,Vernon,CA,50.2581,-119.2691,82.92,30,32,4.61,scattered clouds
170,Aral,CN,40.5156,81.2636,64.58,47,92,5.82,overcast clouds
171,Iowa Falls,US,42.5225,-93.2513,77.23,19,0,10.36,clear sky
172,Ilulissat,GL,69.2167,-51.1,16.09,89,95,8.34,overcast clouds
173,Paragominas,BR,-2.9667,-47.4833,72.46,98,31,2.75,scattered clouds
174,Borcka,TR,41.3632,41.6765,59.36,71,98,6.33,overcast clouds
175,Wukari,NG,7.85,9.7833,75.22,84,100,4.79,light rain
176,Hithadhoo,MV,-0.6,73.0833,82.74,72,100,1.99,overcast clouds
177,Valparaiso,CL,-33.0393,-71.6273,60.01,60,4,8.14,clear sky
178,Torghay,KZ,49.6339,63.4981,62.26,36,0,5.26,clear sky
179,Ushuaia,AR,-54.8,-68.3,42.46,75,75,24.16,broken clouds
180,Iqaluit,CA,63.7506,-68.5145,26.33,63,75,9.22,broken clouds
181,Kodinsk,RU,58.6881,99.1844,56.82,44,34,3.27,scattered clouds
182,Lejanias,CO,3.5251,-74.0216,70.05,97,64,3.13,broken clouds
183,Quelimane,MZ,-17.8786,36.8883,63.99,84,0,3.13,clear sky
184,Novopskov,UA,49.5464,39.0899,58.96,98,100,6.17,overcast clouds
185,Tolanaro,MG,-25.0319,46.9987,69.87,94,75,13.8,broken clouds
186,Slavyanka,RU,42.8633,131.3847,62.69,73,100,2.53,overcast clouds
187,Ugoofaaru,MV,5.6667,73.0,83.43,77,84,13.91,moderate rain
188,Puerto Deseado,AR,-47.7503,-65.8938,41.41,47,100,10.87,overcast clouds
189,Bonthe,SL,7.5264,-12.505,79.93,87,100,5.61,overcast clouds
190,Touros,BR,-5.1989,-35.4608,78.37,83,11,10.36,few clouds
191,Port Augusta,AU,-32.5,137.7667,62.4,61,20,10.29,few clouds
192,Rikaze,CN,29.25,88.8833,46.62,41,18,3.29,few clouds
193,Idri,LY,27.5,13.2667,71.2,33,1,6.42,clear sky
194,Snihurivka,UA,47.0758,32.8052,59.34,89,98,5.21,overcast clouds
195,Masindi Port,UG,1.6961,32.0861,64.63,95,100,3.98,overcast clouds
196,Fale Old Settlement,TK,-9.3852,-171.2468,84.11,76,7,14.56,light rain
197,Katsuren-Haebaru,JP,26.3369,127.8719,79.18,83,100,11.5,overcast clouds
198,Chernyshevsk,RU,52.5243,117.0174,57.42,31,43,3.94,scattered clouds
199,Bakanas,KZ,44.8081,76.2772,61.57,56,2,6.22,clear sky
200,El Limon,VE,10.3059,-67.6321,81.72,90,98,1.59,overcast clouds
201,Tacambaro De Codallos,MX,19.2333,-101.4667,64.08,80,100,7.47,light rain
202,Nouadhibou,MR,20.931,-17.0347,71.58,60,100,18.41,overcast clouds
203,Longyearbyen,SJ,78.2186,15.6401,28.24,54,0,6.91,clear sky
204,Papao,PF,-17.75,-149.55,85.68,76,5,20.67,clear sky
205,Aasiaat,GL,68.7098,-52.8699,22.46,72,100,6.76,overcast clouds
206,Bedesa,ET,8.9,40.7833,61.61,93,64,7.29,broken clouds
207,Morki,RU,56.4303,48.9947,62.19,94,100,3.0,overcast clouds
208,Vodnyy,RU,63.5046,53.4095,52.38,87,100,6.62,light rain
209,Kudat,MY,6.8837,116.8477,82.33,89,20,4.61,few clouds
210,Brisas Barra De Suchiate,MX,14.55,-92.2167,86.18,65,100,1.32,overcast clouds
211,Le Vauclin,MQ,14.5452,-60.8388,80.65,78,40,8.05,scattered clouds
212,Kalabo,ZM,-14.97,22.6814,56.5,41,0,5.86,clear sky
213,San Patricio,US,28.017,-97.5169,84.15,64,5,11.39,clear sky
214,Kaga Bandoro,CF,6.9896,19.1874,72.03,95,100,3.96,moderate rain
